令和4年(2022)人口動態統計(確定数)の概況表5(1)母の年齢(5歳階級)別
mother_age,1985,1995,2000,2005,2010,2015,2020,2021,2022
total,1.76,1.42,1.36,1.26,1.39,1.45,1.33,1.30,1.26								
15~19,0.0229,0.0185,0.0269,0.0253,0.0232,0.0206,0.0123,0.0100,0.0085
20~24,0.3173,0.2022,0.1965,0.1823,0.1781,0.1475,0.1148,0.1035,0.0921
25~29,0.8897,0.5880,0.4967,0.4228,0.4356,0.4215,0.3744,0.3615,0.3483
30~34,0.4397,0.4677,0.4620,0.4285,0.4789,0.5173,0.4877,0.4820,0.4706
35~39,0.0846,0.1311,0.1572,0.1761,0.2318,0.2864,0.2777,0.2799,0.2722
40~44,0.0094,0.0148,0.0194,0.0242,0.0387,0.0557,0.0610,0.0641,0.0629
45~49,0.0003,0.0004,0.0005,0.0008,0.0010,0.0015,0.0018,0.0018,0.0019
