令和4年(2022)人口動態統計(確定数)の概況表5(3)母の年齢(5歳階級)・出生順位別
mother_age,2022_total,2022_1,2022_2,2022_3,2021_total,2021_1,2021_2,2021_3
total,1.2565,0.5894,0.4558,0.2114,1.3029,0.6094,0.4689,0.2245		
15~19,0.0085,0.0076,0.0009,0.0001,0.0100,0.0089,0.0011,0.0001
20~24,0.0921,0.0621,0.0247,0.0053,0.1035,0.0691,0.0282,0.0062
25~29,0.3483,0.2094,0.1046,0.0343,0.3615,0.2150,0.1090,0.0375
30~34,0.4706,0.2007,0.1897,0.0802,0.4820,0.2033,0.1926,0.0862
35~39,0.2722,0.0875,0.1109,0.0738,0.2799,0.0907,0.1126,0.0767
40~44,0.0629,0.0212,0.0245,0.0172,0.0641,0.0218,0.0250,0.0174
45~49,0.0019,0.0008,0.0006,0.0005,0.0018,0.0007,0.0006,0.0005
